Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\StateMachine\StateMachine.csproj,File,src\StateMachine\StateMachine.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,test\StateMachine.Tests\StateMachine.Tests.csproj,File,test\StateMachine.Tests\StateMachine.Tests.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,test\StateMachine.Tests\StateMachine.Tests.csproj,File,test\StateMachine.Tests\FiniteStateMachineTests.cs,579,65,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,test\StateMachine.Tests\StateMachine.Tests.csproj,File,test\StateMachine.Tests\FiniteStateMachineTests.cs,579,65,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
